0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,1.0,22.0,22.0,22.0,19.0,18.0,14.0,49.895756,17.775994,5.270919999999999,0.7717609999999999,0.018632,0.006864,0.003922999999999999,0.003922999999999999,0.486903,0.100025,1.0,0.0
1.0,1.0,24.0,24.0,22.0,18.0,16.0,13.0,57.709936,23.799994,3.3254230000000002,0.234185,0.0039030000000000002,0.0039030000000000002,0.0039030000000000002,0.0039030000000000002,0.520908,0.14441400000000001,0.0,0.0
1.0,1.0,62.0,60.0,59.0,54.0,47.0,33.0,55.831441000000005,27.993933000000002,12.687485,4.852282,1.393889,0.373252,0.041817,0.007744,0.530904,0.128548,0.0,1.0
1.0,1.0,55.0,53.0,53.0,50.0,43.0,31.0,40.467228000000006,18.445954,9.118901,3.079428,0.840261,0.272434,0.007653,0.001531,0.483284,0.11479,0.0,0.0
1.0,1.0,44.0,44.0,44.0,41.0,39.0,27.0,18.026254,8.570708999999999,0.41038100000000005,0.0,0.0,0.0,0.0,0.0,0.47593500000000005,0.123572,0.0,1.0
1.0,1.0,44.0,43.0,41.0,41.0,37.0,29.0,28.3564,6.935636,2.305771,0.32372399999999996,0.0,0.0,0.0,0.0,0.502831,0.12674100000000002,0.0,1.0
1.0,0.0,29.0,29.0,29.0,27.0,25.0,16.0,15.448398000000001,9.113819,1.633493,0.0,0.0,0.0,0.0,0.0,0.541743,0.139575,0.0,1.0
1.0,1.0,6.0,6.0,6.0,6.0,2.0,1.0,20.679648999999998,9.497786,1.22366,0.150382,0.0,0.0,0.0,0.0,0.576318,0.07107100000000001,1.0,0.0
1.0,1.0,22.0,21.0,18.0,15.0,13.0,10.0,66.69193299999999,23.545543,6.151117,0.49637200000000004,0.0,0.0,0.0,0.0,0.500073,0.11679300000000001,0.0,1.0
1.0,1.0,79.0,75.0,73.0,71.0,64.0,47.0,22.141784,10.054383999999999,0.874633,0.09978,0.023386,0.0,0.0,0.0,0.560959,0.109134,0.0,1.0
1.0,1.0,45.0,45.0,45.0,43.0,40.0,32.0,84.358401,50.977459,17.293722,1.974419,0.0,0.0,0.0,0.0,0.5460079999999999,0.11237799999999999,0.0,0.0
1.0,0.0,25.0,25.0,25.0,23.0,22.0,18.0,22.480047,13.949995000000001,0.43623199999999995,0.116119,0.0,0.0,0.0,0.0,0.551682,0.139657,1.0,0.0
1.0,1.0,70.0,69.0,65.0,63.0,63.0,50.0,10.5601,3.108358,0.6255109999999999,0.287959,0.103985,0.004799,0.0,0.0,0.534396,0.089587,0.0,1.0
1.0,1.0,48.0,43.0,39.0,32.0,27.0,18.0,23.012798,6.737583,2.4039029999999997,0.189235,0.011437000000000001,0.0,0.0,0.0,0.5015539999999999,0.138287,1.0,1.0
1.0,1.0,94.0,93.0,92.0,89.0,86.0,77.0,8.610822,1.9813189999999998,0.401183,0.066095,0.0,0.0,0.0,0.0,0.541277,0.12450499999999999,0.0,0.0
1.0,1.0,20.0,18.0,16.0,15.0,13.0,9.0,65.113664,33.124796999999994,8.785378999999999,0.673542,0.051811,0.002933,0.000978,0.000978,0.569458,0.089936,1.0,0.0
1.0,1.0,105.0,95.0,81.0,66.0,46.0,32.0,123.05348400000001,70.57101,37.409890999999995,19.937253,14.786667999999999,6.114911,2.34574,1.002243,0.524461,0.134247,1.0,1.0
1.0,1.0,25.0,25.0,24.0,23.0,22.0,19.0,17.03406,9.976938,1.067243,0.484829,0.46779,0.306697,0.188975,0.130114,0.552002,0.108428,0.0,0.0
1.0,1.0,64.0,64.0,63.0,58.0,55.0,40.0,19.673459,6.064866,0.907342,0.080105,0.0,0.0,0.0,0.0,0.551182,0.098591,0.0,0.0
1.0,0.0,46.0,41.0,39.0,32.0,23.0,15.0,115.533777,21.293312,9.665742,2.2766759999999997,0.329396,0.18600000000000003,0.118458,0.071698,0.5404720000000001,0.104949,1.0,1.0
1.0,1.0,37.0,37.0,37.0,34.0,31.0,23.0,61.357614,35.165912,8.114027,1.2048709999999998,0.178499,0.010772,0.0,0.0,0.47818900000000003,0.110793,0.0,0.0
1.0,1.0,19.0,17.0,15.0,12.0,12.0,7.0,179.703958,34.678202,13.018953,1.045157,0.023003,0.005000999999999999,0.002,0.0,0.470425,0.094014,1.0,1.0
1.0,0.0,37.0,34.0,31.0,30.0,28.0,24.0,8.818234,3.1615439999999997,1.900918,1.524727,1.29287,0.165831,0.0,0.0,0.538223,0.09827000000000001,0.0,1.0
1.0,1.0,10.0,10.0,9.0,9.0,9.0,6.0,72.938941,20.285362,9.793215,0.916265,0.040813999999999996,0.0,0.0,0.0,0.528929,0.10815599999999999,1.0,0.0
1.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,133.054234,6.890885000000001,2.7183650000000004,0.169898,0.01794,0.011608,0.003166,0.0010550000000000002,0.588627,0.109748,1.0,1.0
